v1_uni_studrich	v2_uni_sem	v3_schul_bula	v3T_schul_foreign	v4_schul_abi	v5_schul_mathkurs	v6_schul_mathnote	v7_kenn_math	v8_kenn_pc	v9_kenn_prog	v10_stat_vornach	v11_stat_int	v12_stat_diffal	v13_stat_diffpers	v14_stat_wich	v15_stat_beruf	v16_kons_notebook	v17_ort_wunsch	v18_ort_zufr	v19_ort_umzug	v20_kons_internet	v21_kons_tv	v22_kons_sport	v23_kons_jeans	v24_kons_rauch	v25_fin_selbst	v26_fin_eltern	v27_fin_studkred	v28_fin_baf	v29_fin_sonst	v29T_fin_sonst	v30_arb_sem	v30T_arb_vfz	v31_sozd_wohn	v32_sozd_distfeki	v33_sozd_sex	v34_sozd_mutters	v34T_sozd_mutters	v35_sozd_franken	v36_sozd_famstand	v37_sozd_ausb	v38_sozd_kgroe	v39_sozd_gewicht	v40_sozd_gebjahr
5	4	5	 	1,9	2	2	3	3	6	2	2	4	4	3	3	1	0	1	1	2	2	2	50	0	0	100	0	0	0	 	0	0	5	,5	1	1	 	0	1	0	165	2	1989
1	1	3	 	3	2	5	4	3	4	4	3	4	4	4	3	1	1	1	1	5	0	3	10	1	0	100	0	0	0	 	0	0	5	2	1	1	 	0	1	1	163	2	1989
1	4	2	 	2,6	3	2	2	3	5	3	3	4	4	3	2	1	1	1	1	4	5	1	34	0	0	0	0	80	20	Kindergeld	0	0	1	,5	1	1	 	0	1	0	162	2	1989
5	4	1	 	2,4	2	3	5	3	6	1	1	5	5	2	2	1	1	1	0	1	1	2	60	0	50	50	0	0	0	 	0	0	1	 	1	1	 	1	1	1	161	2	1989
2	2	4	 	2	2	2	4	5	6	2,5	1	5	5	2	2	1	1	1	1	4	3	2	30	0	0	100	0	0	0	 	0	0	8	1	1	1	 	0	2	0	160	2	1989
11	1	1	 	2,8	1	2	2	4	4	4	3	3	3	2	4	1	1	1	0	4	,5	4	60	0	0	100	0	0	0	 	0	0	1	4	0	1	 	1	1	0	172	2	1988
5	2	2	 	1	1	1	2	2	5	1	3	3	3	4	4	1	0	1	1	2	1,5	1,5	65	0	20	80	0	0	0	 	0	0	 	4	1	1	 	0	1	0	171	2	1988
3	2	1	 	2	4	3,5	5	1	6	2	3	4	4	3	3	1	1	1	1	3	2	1	30	0	0	20	0	80	0	 	0	0	6	1,5	1	1	 	1	1	1	170	2	1988
2	1	7	 	3	1	4	3	1	5	2	3	4	3	5	5	0	1	1	1	3	2	0	80	1	25	25	25	25	0	 	0	0	7	10	0	1	 	0	1	0	170	2	1988
3	2	5	 	2,6	2	3	4	3	5	5	2	4	4	4	3	1	0	1	1	2	2	15	50	0	10	90	0	0	0	 	0	0	7	4,5	 	1	 	0	1	0	169	2	1988
1	4	1	 	3	1	3	3	5	6	4	2	5	5	1	1	1	1	1	1	3	3	3	60	0	0	100	0	0	0	 	0	0	6	,2	1	1	 	0	1	0	168	2	1988
1	2	3	 	2	2	3	3	4	4	2	2	4	3	3	3	1	1	1	1	1	2	1	40	0	0	50	0	50	0	 	0	0	6	5	1	1	 	1	1	0	167	2	1988
1	1	1	 	1,8	1	3	3	5	6	4	3	4	4	4	4	1	1	1	1	3	3	4	80	1	10	60	0	30	0	 	0	0	7	2	1	1	 	1	1	0	166	2	1988
5	2	8	 	2,5	2	3	3	3	4	3	4	3	2	5	3	1	0	1	1	2	1	3	50	 	0	100	0	0	0	 	0	0	5	,1	1	1	 	0	1	0	166	2	1988
5	2	2	 	2,6	1	3	3	3	5	1,5	3	4	4	2	3	1	1	1	1	2,5	1,5	1	30	0	0	100	0	0	0	 	0	0	7	10	1	1	 	0	1	0	165	2	1988
2	1	6	 	3	2	2	3	4	6	3	2	5	4	4	4	1	0	1	1	2	1,5	2	115	0	0	100	0	0	0	 	0	0	5	2,5	1	1	 	0	1	0	165	2	1988
1	2	7	 	3	2	2	2	2	3	3	4	3	2	3	3	1	0	1	1	,5	3	3	40	0	67	33	0	0	0	 	0	0	7	2	1	1	 	0	1	1	153	2	1988
2	1	6	 	2,3	7	2	2	5	6	4	4	2	1	5	4	0	1	1	1	3	,5	3	70	1	0	100	0	0	0	 	0	0	7	5	0	1	 	1	1	0	170	2	1987
1	2	1	 	2,3	7	3	6	2	6	4	3	4	4	1	2	1	1	1	1	2	2	2	40	0	100	0	0	0	0	 	0	0	7	3	1	1	 	1	1	1	168	2	1987
5	2	3	 	2,2	1	1	2	4	6	3	2	5	4	3	3	1	0	1	1	1	0	3	30	1	0	0	0	100	0	 	0	0	5	2	1	1	 	0	1	1	168	2	1987
1	2	1	 	2,4	2	4	5	2	3	2	2	3	3	2	2	1	0	1	1	2	2	4,5	25	0	0	50	0	50	0	 	0	0	5	2	1	1	 	0	1	0	168	2	1987
5	4	17	Moldawien	1,7	2	2	4	3	5	10	1	4	4	3	2	1	1	1	1	5	0	2	15	0	0	100	0	0	0	 	0	0	7	2	1	0	Rumänisch	0	1	1	170	2	1986
4	 	17	China	 	2	 	3	5	4	2	4	3	4	4	1	1	1	1	1	,5	0	30	0	0	100	0	0	0	0	 	0	0	6	 	0	0	Chinesisch	0	1	0	170	2	1985
5	2	4	 	2	2	2	3	2	3	 	3	4	3	4	2	1	1	1	1	2	2	2	20	0	0	0	0	100	0	 	0	0	6	3	1	1	 	0	1	1	173	2	1984
5	2	16	 	1,9	2	3,4	4	3	6	2	3	4	3	3	2	1	1	1	1	1	0	4	70	0	0	10	10	80	0	 	0	0	5	3	1	1	 	0	1	1	165	2	1984
1	4	1	 	2,6	2	3	3	4	6	3,5	3	4	5	4	4	1	1	0	1	,5	1	10	70	0	0	60	40	0	0	 	0	0	5	1	1	0	Dari	0	1	0	156	1	1988
1	4	1	 	1,9	2	1	2	4	6	2	3	3	3	4	4	1	1	1	1	3	2,5	3	30	0	20	80	0	0	0	 	0	0	5	2,5	1	1	 	1	1	0	153	1	1988
1	1	8	 	3	2	1	3	4	6	3	3	4	4	4	4	1	1	1	1	,75	,5	1,5	80	0	0	100	0	0	0	 	0	0	7	3	1	0	Türkisch	0	1	0	160	1	1987
1	4	1	 	3,1	2	5	4	5	6	3	2	5	5	1	1	1	1	1	1	3	3	4	50	1	0	100	0	0	0	 	0	0	7	,2	1	1	 	1	1	1	163	1	1986
1	2	1	 	1,6	2	2	2	3	3	5,5	4	3	3	1	1	0	1	1	0	,5	1,5	2,5	20	0	0	0	0	100	0	 	0	0	8	1	1	0	Russich	0	2	0	160	1	1986
